ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
A_33_P3249982				
A_33_P3365368		PTH1R	parathyroid hormone 1 receptor	ENST00000313063
A_23_P138352	NM_004185	WNT2B	wingless-type MMTV integration site family, member 2B	ENST00000256640
A_33_P3252281	NM_004100	EYA4	eyes absent homolog 4 (Drosophila)	ENST00000355167
A_21_P0001635		XLOC_001229		
A_21_P0003917		XLOC_004207		
A_24_P23411	NM_016607	ARMCX3	armadillo repeat containing, X-linked 3	ENST00000471229
A_21_P0013292	NM_022170	EIF4H	eukaryotic translation initiation factor 4H	ENST00000353999
A_24_P84508				
A_33_P3263170	NM_003096	SNRPG	small nuclear ribonucleoprotein polypeptide G	ENST00000418788
A_21_P0007471		XLOC_009585		ENST00000527533
A_23_P426305	NM_003734	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	ENST00000308423
A_23_P60599	NM_001072	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6	
A_21_P0007979		XLOC_010553		ENST00000432770
A_21_P0011303	NR_037599	LOC646278	programmed cell death 6 interacting protein pseudogene	
A_23_P49376	NM_000078	CETP	cholesteryl ester transfer protein, plasma	ENST00000379780
A_19_P00805523	NR_039989	LOC100505738	uncharacterized LOC100505738	
A_24_P132383	NM_175571	GIMAP8	GTPase, IMAP family member 8	ENST00000307271
A_21_P0004127		XLOC_004815		ENST00000510349
A_23_P54006	NM_015382	HECTD1	HECT domain containing 1	ENST00000261312
A_33_P3350638				
A_21_P0011551		XLOC_l2_005874		
A_21_P0007891		XLOC_010195		
A_24_P237486	NM_004992	MECP2	methyl CpG binding protein 2 (Rett syndrome)	ENST00000545451
A_19_P00802137		XLOC_l2_000864		
A_21_P0014576	XR_110361	LOC100506732	uncharacterized LOC100506732	
A_33_P3351097				
A_33_P3405995	NM_058181	YBEY	ybeY metallopeptidase (putative)	ENST00000397692
A_21_P0013402		XLOC_l2_013560		ENST00000453459
A_33_P3342370	XM_001126459	LOC728065	uncharacterized LOC728065	
A_33_P3393350	NM_138769	RHOT2	ras homolog gene family, member T2	ENST00000315082
A_33_P3331761	NM_001001955	OR4C13	olfactory receptor, family 4, subfamily C, member 13	ENST00000555099
A_33_P3343182	NM_024726	IQCA1	IQ motif containing with AAA domain 1	ENST00000309507
A_23_P391228	NM_001031740	MANEAL	mannosidase, endo-alpha-like	ENST00000373045
A_33_P3225685	NM_012200	B3GAT3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	ENST00000265471
A_23_P81280	NM_152547	BTNL9	butyrophilin-like 9	ENST00000376850
A_33_P3237719				
A_21_P0003068		XLOC_002949		
A_23_P206901	NM_017668	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	ENST00000396355
A_23_P47102	NM_080658	ACY3	aspartoacylase (aminocyclase) 3	ENST00000255082
A_33_P3234482				
A_33_P3415336		ALS2	amyotrophic lateral sclerosis 2 (juvenile)	ENST00000462747
A_21_P0000324	NR_002969	SNORA36A	small nucleolar RNA, H/ACA box 36A	ENST00000475966
A_33_P3211569	NM_001005915	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	ENST00000411731
A_21_P0002517		XLOC_002383		
A_23_P11629	NM_182532	TMEM61	transmembrane protein 61	ENST00000371268
A_33_P3221129	NM_203422	LRRN4CL	LRRN4 C-terminal like	ENST00000317449
A_33_P3210443	NR_038436	LOC145216	uncharacterized LOC145216	
A_23_P391926	NM_001008701	LPHN1	latrophilin 1	ENST00000340736
A_24_P23445	NR_029422	RNU12	RNA, U12 small nuclear	
A_33_P3340065				
A_21_P0005023		XLOC_005711		ENST00000444731
A_33_P3403242				
A_23_P409168	NM_015175	NBEAL2	neurobeachin-like 2	ENST00000477412
A_23_P68892	NM_014306	C22orf28	chromosome 22 open reading frame 28	ENST00000451746
A_21_P0011623		XLOC_l2_005826		ENST00000506394
A_23_P143734	NM_000106	CYP2D6	cytochrome P450, family 2, subfamily D, polypeptide 6	ENST00000542856
A_24_P27412	NM_005701	SNUPN	snurportin 1	ENST00000371091
A_33_P3233273	NM_001142928	LRRC61	leucine rich repeat containing 61	ENST00000323078
A_23_P142125	NM_002152	HRC	histidine rich calcium binding protein	ENST00000252825
A_21_P0006528		XLOC_008117		
A_33_P3295098		ESYT3	extended synaptotagmin-like protein 3	ENST00000289135
A_23_P153084	NM_006788	RALBP1	ralA binding protein 1	ENST00000383432
A_33_P3380383	NM_001099221	TIFAB	TRAF-interacting protein with forkhead-associated domain, family member B	
A_33_P3219537	NR_028409	LINC00207	long intergenic non-protein coding RNA 207	
A_21_P0000586	NR_030737	TTC3P1	tetratricopeptide repeat domain 3 pseudogene 1	
A_24_P873659	NR_002819	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	
A_33_P3421748		SON	SON DNA binding protein	ENST00000381679
A_21_P0005277		XLOC_006325		ENST00000465755
A_21_P0006002		XLOC_007306		ENST00000423326
A_21_P0007578		XLOC_009798		
A_33_P3377644	NM_001004308	ZCCHC16	zinc finger, CCHC domain containing 16	ENST00000340433
A_21_P0005189	XR_108720	LOC100507642	uncharacterized LOC100507642	
A_21_P0005552		XLOC_006025		ENST00000520395
A_23_P215900	NM_016240	SCARA3	scavenger receptor class A, member 3	ENST00000301904
A_23_P217845	NM_002928	RGS16	regulator of G-protein signaling 16	ENST00000367558
A_21_P0009368	XR_109440	LOC100507520	uncharacterized LOC100507520	
A_21_P0005476		XLOC_006377		
A_33_P3507270	NM_198529	EFCAB5	EF-hand calcium binding domain 5	ENST00000320856
A_33_P3305625		LOC100131015	uncharacterized LOC100131015	
A_33_P3439713		LOC283713	uncharacterized LOC283713	
A_23_P371758	NM_148897	SDR9C7	short chain dehydrogenase/reductase family 9C, member 7	ENST00000293502
A_24_P652502				ENST00000390426
A_21_P0012914		XLOC_l2_012107		
A_23_P126584	NM_005894	CD5L	CD5 molecule-like	ENST00000368174
A_23_P427180	NM_178828	C9orf79	chromosome 9 open reading frame 79	ENST00000325643
A_23_P203743	NM_012296	GAB2	GRB2-associated binding protein 2	ENST00000361507
A_33_P3212930				
A_21_P0001007		XLOC_000370		ENST00000420059
A_23_P78750	NM_020309	SLC17A7	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	ENST00000543531
A_21_P0004961		XLOC_005514		
A_33_P3263217	NM_022143	LRRC4	leucine rich repeat containing 4	ENST00000249363
A_21_P0001363		XLOC_000340		
A_21_P0007897		XLOC_010240		
A_23_P334173	NM_002349	LY75	lymphocyte antigen 75	ENST00000263636
A_33_P3381044				
A_24_P297537	NM_182574	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator	ENST00000356751
A_21_P0003804		XLOC_004188		
A_21_P0011900		XLOC_l2_007876		ENST00000428379
A_24_P62659	NM_005725	TSPAN2	tetraspanin 2	ENST00000369516
A_33_P3402551	NR_003238	H2BFXP	H2B histone family, member X, pseudogene	
A_33_P3287223	NM_001935	DPP4	dipeptidyl-peptidase 4	ENST00000360534
A_33_P3224882				ENST00000444775
A_23_P518	NM_024626	VTCN1	V-set domain containing T cell activation inhibitor 1	ENST00000369458
A_21_P0010694		XLOC_l2_000092		ENST00000431027
A_23_P113793	NM_024508	ZBED2	zinc finger, BED-type containing 2	ENST00000317012
A_23_P384650	NM_138454	NXNL1	nucleoredoxin-like 1	ENST00000301944
A_19_P00808320				
A_21_P0010274		XLOC_014046		
A_23_P3193	NM_005113	GOLGA5	golgin A5	ENST00000439315
A_21_P0009046	NR_027755	LOC283867	uncharacterized LOC283867	
A_21_P0007953		XLOC_010460		ENST00000424926
A_32_P220463	NR_024356	FBLL1	fibrillarin-like 1	
A_24_P80532	NM_004354	CCNG2	cyclin G2	ENST00000354403
A_21_P0007628		XLOC_009887		
A_24_P910688	XM_003403704	C19orf67	chromosome 19 open reading frame 67	ENST00000343945
A_33_P3259203				
A_21_P0002876		XLOC_003245		ENST00000503572
A_33_P3412055	NM_144690	ZNF582	zinc finger protein 582	ENST00000301310
A_21_P0002737		XLOC_002612		ENST00000415991
A_33_P3381259				ENST00000439960
A_19_P00322984		XLOC_006037		
A_33_P3222947	NM_001146336	TMEM114	transmembrane protein 114	
A_19_P00322673		XLOC_l2_013314		
A_33_P3247489	NM_001037225	C11orf85	chromosome 11 open reading frame 85	ENST00000301896
A_21_P0011714	NM_024318	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	ENST00000474697
A_23_P120776	NM_005984	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	ENST00000470922
A_32_P229746	NM_005494	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	ENST00000487480
A_33_P3391511				
A_33_P3464855		DKFZP586B0319	DKFZP586B0319 protein	
A_19_P00321739	NR_026807	LINC00472	long intergenic non-protein coding RNA 472	
A_33_P3314550	NM_002866	RAB3A	RAB3A, member RAS oncogene family	ENST00000222256
A_33_P3401179				
A_21_P0007914		LOC400128	uncharacterized LOC400128	
A_21_P0005193		XLOC_006154		ENST00000454234
A_33_P3388983		C5orf56	chromosome 5 open reading frame 56	ENST00000378947
A_19_P00802587		XLOC_l2_003666		ENST00000435044
A_23_P161135	NM_002303	LEPR	leptin receptor	ENST00000406510
A_24_P332862	NM_001076678	ZNF493	zinc finger protein 493	ENST00000418100
A_33_P3550894	NM_001145661	GATA2	GATA binding protein 2	ENST00000430265
A_24_P912366	NM_001109977	FAM160A1	family with sequence similarity 160, member A1	ENST00000505231
A_23_P131816	NM_052951	DNTTIP1	deoxynucleotidyltransferase, terminal, interacting protein 1	ENST00000372622
A_23_P84565	NM_001722	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	ENST00000518039
A_23_P58228	NM_017855	ODAM	odontogenic, ameloblast asssociated	ENST00000510847
A_33_P3301620	NM_001184997	RNF32	ring finger protein 32	ENST00000392740
A_33_P3401267	NM_001042548	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	ENST00000487919
A_23_P77502	NM_001009944	PKD1	polycystic kidney disease 1 (autosomal dominant)	ENST00000262304
A_21_P0009385		XLOC_012162		
A_23_P8913	NM_000067	CA2	carbonic anhydrase II	ENST00000285379
A_33_P3380797	NM_005247	FGF3	fibroblast growth factor 3	
A_33_P3271945		HAUS6	HAUS augmin-like complex, subunit 6	ENST00000380496
A_33_P3357182		C6orf146	chromosome 6 open reading frame 146	ENST00000380188
A_33_P3360530				
A_33_P3412125				
A_33_P3236881	NM_001204088	C1orf151-NBL1	C1orf151-NBL1 readthrough	
A_23_P393025	NM_144644	SPATA4	spermatogenesis associated 4	ENST00000280191
A_21_P0005480		XLOC_006385		
A_21_P0012566	NR_037863	LOC285484	uncharacterized LOC285484	
A_33_P3250595	NM_001001132	ITSN1	intersectin 1 (SH3 domain protein)	ENST00000381289
A_21_P0006560		XLOC_007960		ENST00000447570
A_24_P200023	NM_000877	IL1R1	interleukin 1 receptor, type I	ENST00000410023
A_23_P306890	NM_007195	POLI	polymerase (DNA directed) iota	ENST00000217800
A_33_P3331326				
A_33_P3264514		S100B	S100 calcium binding protein B	ENST00000397648
A_33_P3413188	NR_024493	LINC00087	long intergenic non-protein coding RNA 87	
A_33_P3318681	NM_001080532	TMC3	transmembrane channel-like 3	ENST00000359440
A_19_P00324550	NM_001122636	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	ENST00000424720
A_33_P3331335	NM_144993	TET3	tet methylcytosine dioxygenase 3	ENST00000233310
A_23_P9565	NM_031296	RAB33B	RAB33B, member RAS oncogene family	ENST00000305626
A_23_P15734	NM_000226	KRT9	keratin 9	ENST00000246662
A_23_P348524	NM_001007125	C20orf201	chromosome 20 open reading frame 201	ENST00000308906
A_19_P00320434		XLOC_001728	0	
A_23_P117494	NM_005956	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	ENST00000556284
A_23_P33196	NM_000393	COL5A2	collagen, type V, alpha 2	ENST00000452536
A_23_P27315	NM_032048	EMILIN2	elastin microfibril interfacer 2	ENST00000254528
A_33_P3286929				
A_33_P3264364	NM_001136127	DNM3	dynamin 3	ENST00000523513
A_24_P315941				ENST00000390625
A_21_P0012583		XLOC_l2_010636		
A_21_P0000096	NM_019609	CPXM1	carboxypeptidase X (M14 family), member 1	
A_33_P3389773				
A_33_P3482534		LOC613266	uncharacterized LOC613266	
A_33_P3306624	NM_001524	HCRT	hypocretin (orexin) neuropeptide precursor	ENST00000293330
A_24_P131222	NM_022089	ATP13A2	ATPase type 13A2	ENST00000341676
A_23_P66844	NM_033061	KRTAP4-7	keratin associated protein 4-7	ENST00000391417
A_23_P71368	NM_006269	RP1	retinitis pigmentosa 1 (autosomal dominant)	ENST00000220676
A_23_P402733	NM_032195	SON	SON DNA binding protein	ENST00000300278
A_21_P0013546		XLOC_l2_014694		
A_21_P0013677	NR_026868	ANKRD19P	ankyrin repeat domain 19, pseudogene	ENST00000465736
A_33_P3229256	NM_014595	NT5C	5', 3'-nucleotidase, cytosolic	ENST00000245552
A_33_P3218435				ENST00000523591
A_21_P0008308		XLOC_010778		
A_21_P0012495		XLOC_l2_009811		
A_21_P0014028	XM_003403527	PP12719	uncharacterized LOC100653022	
A_33_P3402918	NM_007254	PNKP	polynucleotide kinase 3'-phosphatase	ENST00000322344
A_33_P3312288				
A_21_P0001404		XLOC_000511		
A_21_P0001887		XLOC_001593		ENST00000427042
A_24_P16184				
A_23_P48936	NM_005902	SMAD3	SMAD family member 3	
A_23_P155257	NM_032682	FOXP1	forkhead box P1	
A_21_P0010731		XLOC_l2_000465		ENST00000452528
A_24_P576506	NM_001012508	SPRN	shadow of prion protein homolog (zebrafish)	ENST00000541506
A_33_P3289251		LOC644727	uncharacterized LOC644727	
A_23_P167159	NM_007281	SCRG1	stimulator of chondrogenesis 1	ENST00000512188
A_33_P3310293	NM_181805	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	ENST00000372882
A_33_P3409294				
A_33_P3409477	NM_032873	UBASH3B	ubiquitin associated and SH3 domain containing B	ENST00000284273
A_21_P0003122		XLOC_003146		
A_21_P0001298		XLOC_000198		
A_33_P3362652	NM_001005514	OR5H14	olfactory receptor, family 5, subfamily H, member 14	ENST00000437310
A_19_P00322080	XR_132651	LOC100506694	uncharacterized LOC100506694	
A_24_P245322	NM_212472	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	ENST00000536854
A_23_P14915	NM_001896	CSNK2A2	casein kinase 2, alpha prime polypeptide	ENST00000262506
A_24_P24570				ENST00000391679
A_21_P0007694		LOC100506451	uncharacterized LOC100506451	
A_21_P0014292	XR_109187	LOC100506059	uncharacterized LOC100506059	
A_21_P0005816		XLOC_007051		
A_33_P3317880	NR_023392	ZNF252	zinc finger protein 252	ENST00000426361
A_23_P47377	NM_016142	HSD17B12	hydroxysteroid (17-beta) dehydrogenase 12	ENST00000278353
A_33_P3420611	NM_001004707	OR4D2	olfactory receptor, family 4, subfamily D, member 2	ENST00000545221
A_23_P100315	NM_020664	DECR2	2,4-dienoyl CoA reductase 2, peroxisomal	ENST00000439661
A_24_P221968	NM_001207030	LOC643802	u3 small nucleolar ribonucleoprotein protein MPP10-like	
A_21_P0006582		XLOC_008222		ENST00000422226
A_33_P3373504				ENST00000318117
A_23_P216118	NM_080872	UNC5D	unc-5 homolog D (C. elegans)	ENST00000453357
A_33_P3237804				
A_33_P3331746	NM_032528	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	ENST00000361803
A_32_P66974	NM_004716	PCSK7	proprotein convertase subtilisin/kexin type 7	ENST00000543900
A_33_P3313810	NM_001971	CELA1	chymotrypsin-like elastase family, member 1	ENST00000293636
A_33_P3305974	NM_003825	SNAP23	synaptosomal-associated protein, 23kDa	ENST00000397138
A_33_P3259393	NM_178232	HAPLN3	hyaluronan and proteoglycan link protein 3	ENST00000359595
A_33_P3419711		C1orf49	chromosome 1 open reading frame 49	ENST00000367642
A_21_P0007284		XLOC_009302		
A_33_P3343605				
A_21_P0002865		XLOC_003176		ENST00000479244
A_21_P0006057		XLOC_007581		ENST00000435157
A_33_P3247117	NM_004709	CXorf1	chromosome X open reading frame 1	ENST00000408967
A_23_P107994	NM_017854	TMEM160	transmembrane protein 160	ENST00000253047
A_23_P333498	NM_030636	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	ENST00000242108
A_33_P3253175		WDR37	WD repeat domain 37	ENST00000381329
A_33_P3252685				
A_23_P120933	NM_001675	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	ENST00000337304
A_24_P932736		HMBOX1	homeobox containing 1	ENST00000397358
A_32_P52153	NR_038453	LOC728978	uncharacterized LOC728978	ENST00000447119
A_21_P0011928	NM_002567	PEBP1	phosphatidylethanolamine binding protein 1	ENST00000542939
A_21_P0002340		XLOC_001823		
A_24_P325107	NM_020940	FAM160B1	family with sequence similarity 160, member B1	ENST00000369250
A_21_P0008466		XLOC_011082		
A_23_P8834	NM_001979	EPHX2	epoxide hydrolase 2, cytoplasmic	ENST00000415449
A_23_P33961	NM_001727	BRS3	bombesin-like receptor 3	
A_32_P65616	NM_000948	PRL	prolactin	ENST00000306482
A_33_P3424302	NM_178455	SPINT4	serine peptidase inhibitor, Kunitz type 4	ENST00000279058
A_23_P79094	NM_006865	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	ENST00000251390
A_21_P0004112		XLOC_004756		ENST00000502861
A_21_P0009566		XLOC_012863		
A_21_P0011862		XLOC_l2_007586		
A_23_P74309	NM_014697	NOS1AP	nitric oxide synthase 1 (neuronal) adaptor protein	ENST00000530878
A_23_P55256	NM_014897	ZNF652	zinc finger protein 652	ENST00000362063
A_21_P0011062	XM_001717983	C12orf63	chromosome 12 open reading frame 63	ENST00000554108
A_32_P208350	NM_153046	TDRD9	tudor domain containing 9	ENST00000339063
A_33_P3332885	NM_001197234	BTN2A1	butyrophilin, subfamily 2, member A1	ENST00000265424
A_32_P141418	NM_018076	ARMC4	armadillo repeat containing 4	ENST00000545014
A_21_P0005874		XLOC_007164		
A_21_P0007465		XLOC_009485		
A_33_P3229617	NM_001099401	SGCE	sarcoglycan, epsilon	ENST00000445866
A_21_P0000466	NR_003691	SNORD127	small nucleolar RNA, C/D box 127	
A_33_P3401008	NM_001085488	TMEM150B	transmembrane protein 150B	ENST00000438693
A_24_P84021				
A_23_P152858	NM_018405	C17orf79	chromosome 17 open reading frame 79	ENST00000496655
A_23_P361419	NM_018369	DEPDC1B	DEP domain containing 1B	ENST00000265036
A_23_P422115	NM_001048265	C9orf116	chromosome 9 open reading frame 116	ENST00000371789
A_21_P0001673		XLOC_000152		
A_23_P148308	NM_006743	RBM3	RNA binding motif (RNP1, RRM) protein 3	ENST00000489344
A_33_P3334630	NM_001128834	PLP1	proteolipid protein 1	ENST00000418604
A_21_P0008874		XLOC_011755		
A_24_P103886	NM_004508	IDI1	isopentenyl-diphosphate delta isomerase 1	ENST00000381344
A_33_P3248962		LOC100131742	uncharacterized LOC100131742	
A_24_P636318	NM_001009993	FAM168B	family with sequence similarity 168, member B	ENST00000409185
A_24_P943106	NM_001080415	U2SURP	U2 snRNP-associated SURP domain containing	ENST00000473835
A_33_P3287760	NM_145313	RASGEF1A	RasGEF domain family, member 1A	ENST00000395809
A_33_P3234168	NM_178812	MTDH	metadherin	ENST00000336273
A_21_P0011468	NM_004667	HERC2	hect domain and RLD 2	ENST00000529353
A_23_P376088	NM_017806	LIME1	Lck interacting transmembrane adaptor 1	ENST00000476183
A_23_P374919	NM_144702	LRRC71	leucine rich repeat containing 71	ENST00000337428
A_33_P3534905	NR_033962	FLJ42969	uncharacterized LOC441374	ENST00000514926
A_21_P0001986	XR_109991	XLOC_001928		ENST00000427398
A_21_P0012432		XLOC_l2_010097		ENST00000455623
A_23_P149946	NM_033100	CDHR1	cadherin-related family member 1	ENST00000440770
A_23_P131935	NM_017671	FERMT1	fermitin family member 1	ENST00000217289
A_33_P3381966		LOC100129311	uncharacterized LOC100129311	
A_21_P0008286		XLOC_010925		ENST00000421617
A_33_P3228600	NM_001127442	CPA5	carboxypeptidase A5	ENST00000461828
A_24_P261567	NM_030792	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	ENST00000443276
A_21_P0007017		XLOC_008944		
A_21_P0000416	NR_003212	SNORD114-19	small nucleolar RNA, C/D box 114-19	
A_21_P0008396		XLOC_010942		
A_33_P3295358	NM_139314	ANGPTL4	angiopoietin-like 4	ENST00000301455
A_33_P3278392		NFU1	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	
A_33_P3353747	XR_132979	LOC100653275	uncharacterized LOC100653275	
A_24_P251381	NM_024782	NHEJ1	nonhomologous end-joining factor 1	ENST00000318673
A_21_P0009513		XLOC_012743		
A_33_P3329622		HEATR8	HEAT repeat containing 8	ENST00000395690
A_23_P70634	NM_002511	NMBR	neuromedin B receptor	ENST00000258042
A_21_P0008158		XLOC_010596		
A_23_P124252	NM_020397	CAMK1D	calcium/calmodulin-dependent protein kinase ID	ENST00000378845
A_24_P69538	NM_138554	TLR4	toll-like receptor 4	ENST00000472304
A_21_P0005090		XLOC_005931		
A_33_P3299170	NM_201412	LUC7L	LUC7-like (S. cerevisiae)	ENST00000490762
A_32_P152204	NM_001085479	IQCF3	IQ motif containing F3	ENST00000456080
A_21_P0005153	XR_112812	LOC100507336	uncharacterized LOC100507336	ENST00000443445
A_21_P0009862		XLOC_013578		ENST00000434176
A_21_P0001257		XLOC_000032		
A_23_P67829	NM_025076	UXS1	UDP-glucuronate decarboxylase 1	ENST00000409032
A_33_P3263533	NM_001202435	SCN1A	sodium channel, voltage-gated, type I, alpha subunit	
A_33_P3284557	NM_016653	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	ENST00000409176
A_33_P3243657	NM_012192	FXC1	fracture callus 1 homolog (rat)	ENST00000254616
A_33_P3258146	XM_001724322	LOC100130539	uncharacterized LOC100130539	
A_33_P3327470				
A_23_P67391	NM_007059	KPTN	kaptin (actin binding protein)	ENST00000536339
A_33_P3324974				
A_33_P3345086	NM_021057	IFNA7	interferon, alpha 7	ENST00000239347
A_21_P0012627		XLOC_l2_010908		
A_21_P0006735		XLOC_008728		ENST00000455871
A_24_P95439	NM_001014437	CARS	cysteinyl-tRNA synthetase	
A_21_P0002607		XLOC_001637		
A_33_P3313559		ORMDL1	ORM1-like 1 (S. cerevisiae)	ENST00000409519
A_33_P3333038	NM_002824	PTMS	parathymosin	ENST00000436860
A_23_P206022	NM_001004439	ITGA11	integrin, alpha 11	ENST00000423218
A_21_P0011883		XLOC_l2_007827		
A_21_P0003470	XR_110053	LOC100507160	uncharacterized LOC100507160	ENST00000514707
A_33_P3267280	NM_005730	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	ENST00000547169
A_33_P3381671		LOC731424	uncharacterized LOC731424	
A_24_P253780	NM_145663	DBF4B	DBF4 homolog B (S. cerevisiae)	ENST00000393547
A_21_P0008546		XLOC_011115		
A_33_P3364051	NM_003935	TOP3B	topoisomerase (DNA) III beta	ENST00000413067
A_32_P160972	NM_021243	C6orf115	chromosome 6 open reading frame 115	ENST00000367660
A_23_P208389	NM_021913	AXL	AXL receptor tyrosine kinase	ENST00000301178
A_33_P3718152		C14orf41	chromosome 14 open reading frame 41	
A_21_P0009864		XLOC_013581		ENST00000442780
A_33_P3249259	NM_198994	TGM6	transglutaminase 6	ENST00000202625
A_21_P0007369		XLOC_009497		
A_33_P3371954	NM_052868	IGSF8	immunoglobulin superfamily, member 8	ENST00000314485
A_33_P3278501				
A_33_P3362806	NM_207672	GRIPAP1	GRIP1 associated protein 1	ENST00000488361
A_33_P3250178	NM_001042706	IQCJ	IQ motif containing J	ENST00000397832
A_21_P0007596		XLOC_009819		
A_23_P365418	NM_001195220	ZNF783	zinc finger family member 783	ENST00000434415
A_33_P3335629	NM_014187	TMEM208	transmembrane protein 208	ENST00000304800
A_21_P0007518		XLOC_009632		
A_24_P941336	NM_018128	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	ENST00000301364
A_21_P0009652	XR_109539	LOC100505639	uncharacterized LOC100505639	
A_21_P0000169	NM_001206790	TMPRSS13	transmembrane protease, serine 13	ENST00000526090
A_33_P3375681	NR_038876	LOC100129027	uncharacterized LOC100129027	ENST00000380008
A_23_P30784	NM_013375	ABT1	activator of basal transcription 1	ENST00000274849
A_33_P3250963	NR_015381	TP53TG1	TP53 target 1 (non-protein coding)	
A_23_P133058	NM_203462	MRFAP1L1	Morf4 family associated protein 1-like 1	ENST00000500563
A_24_P277349	NM_001077207	SEC31A	SEC31 homolog A (S. cerevisiae)	
A_21_P0002011		XLOC_001974		ENST00000444688
A_21_P0002127		XLOC_002419		ENST00000449835
A_33_P3340956				
A_33_P3276153	NR_027024	LOC645752	golgi autoantigen, golgin subfamily a, 6 pseudogene	
A_32_P66881	NM_138554	TLR4	toll-like receptor 4	
A_33_P3373119				
A_33_P3371999	NM_007030	TPPP	tubulin polymerization promoting protein	
A_23_P328836	NM_032440	LCOR	ligand dependent nuclear receptor corepressor	ENST00000356016
A_23_P106656	NM_001014435	CA7	carbonic anhydrase VII	ENST00000548332
A_21_P0011962		XLOC_l2_008252		ENST00000375987
A_33_P3396120	NM_032530	ZNF594	zinc finger protein 594	ENST00000389222
A_33_P3373955	NM_183059	RD3	retinal degeneration 3	ENST00000367002
A_24_P284523	NM_002446	MAP3K10	mitogen-activated protein kinase kinase kinase 10	ENST00000253055
A_23_P254863	NM_153361	NIM1	serine/threonine-protein kinase NIM1	ENST00000512796
A_19_P00807752	XR_111408	MCF2L	MCF.2 cell line derived transforming sequence-like	ENST00000442625
A_33_P3379486		LOC100130581	uncharacterized LOC100130581	
A_21_P0001463		XLOC_000695		
A_21_P0005845		XLOC_007101		ENST00000521061
A_23_P24535	NM_017868	TTC12	tetratricopeptide repeat domain 12	ENST00000464224
A_23_P74895	NM_024674	LIN28A	lin-28 homolog A (C. elegans)	ENST00000254231
A_21_P0013586	NR_026759	FAM95B1	family with sequence similarity 95, member B1	ENST00000455995
A_33_P3361027	NM_001008697	TFIP11	tuftelin interacting protein 11	ENST00000405938
A_21_P0012763		XLOC_l2_011007		ENST00000513681
A_33_P3224795	NM_022466	IKZF5	IKAROS family zinc finger 5 (Pegasus)	
A_21_P0013861		XLOC_l2_015700		ENST00000422048
A_24_P377499	NM_015550	OSBPL3	oxysterol binding protein-like 3	
A_33_P3213493	NM_014232	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)	ENST00000498285
A_33_P3336103	NM_032862	TIGD5	tigger transposable element derived 5	ENST00000321385
A_33_P3350393	NM_003869	CES2	carboxylesterase 2	ENST00000417689
A_21_P0006486		XLOC_007949		
A_33_P3324284				
A_33_P3374343				
A_21_P0005367		XLOC_006034		
A_33_P3222228	NM_000150	FUT6	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)	
A_21_P0000887	NR_040036	LOC100505835	uncharacterized LOC100505835	
A_21_P0010430		XLOC_014288		
A_24_P273043				
A_21_P0011934	NR_040097	LOC100506123	uncharacterized LOC100506123	ENST00000448494
A_21_P0010389		XLOC_014412		
A_32_P155460	NR_024089	LINC00162	long intergenic non-protein coding RNA 162	ENST00000422199
A_24_P169386	NM_001040710	C2orf84	chromosome 2 open reading frame 84	ENST00000456591
A_21_P0007407		XLOC_009575		
A_33_P3253812				
A_33_P3235009	NM_001242415	WDR20	WD repeat domain 20	ENST00000322340
